"","from","to","weight","strength","cost","edge_betweenness","n.edge_betweenness","n.edge_weight","n.edge_strength","n.edge_cost"
"1","1","1",2.66313560926125,0.776785714285714,2.66313560926125,0,0,0.000752133170208677,0.0097025183497982,0.000752133170208677
"2","1","31",9.26771192022915,0.223214285714286,9.26771192022915,12,0.342857142857143,0.00263571265274818,0.00278282446246443,0.00263571265274818
"3","3","1",106.086445973319,0.0195,106.086445973319,10,0.285714285714286,0.0302477459462393,0.000236377111925604,0.0302477459462393
"4","3","3",18.9787678576121,0.109,18.9787678576121,0,0,0.00540523863840029,0.00135513536235518,0.00540523863840029
"5","3","31",275.82475953063,0.0075,275.82475953063,0,0,0.0786559389572686,8.63760057227561e-05,0.0786559389572686
"6","4","4",0.282375597569482,7.32600732600733,0.282375597569482,0,0,7.3156881687918e-05,0.0915683922269517,7.3156881687918e-05
"7","5","5",84.4361508767233,0.0245,84.4361508767233,0,0,0.0240732315315672,0.000298877572843458,0.0240732315315672
"8","5","6",51.0786591723388,0.0405,51.0786591723388,2,0.0571428571428571,0.0145599056185909,0.000498879047780588,0.0145599056185909
"9","5","23",376.124672087222,0.0055,376.124672087222,5,0.142857142857143,0.107260780281968,6.13758213556147e-05,0.107260780281968
"10","5","24",31.3437226739352,0.066,31.3437226739352,1,0.0285714285714286,0.00893163822831446,0.000817631398461641,0.00893163822831446
"11","6","6",0.0806787421627091,25.6410256410256,0.0806787421627091,0,0,1.56343335865309e-05,0.320507809508466,1.56343335865309e-05
"12","7","6",295.526528068532,0.007,295.526528068532,7,0.2,0.0842747470746202,8.01259596309707e-05,0.0842747470746202
"13","7","7",243.374787821144,0.0085,243.374787821144,0,0,0.0694014314698659,9.88760979063268e-05,0.0694014314698659
"14","7","20",376.124672087222,0.0055,376.124672087222,8,0.228571428571429,0.107260780281968,6.13758213556147e-05,0.107260780281968
"15","7","24",114.926983137762,0.018,114.926983137762,8,0.228571428571429,0.0327690059988971,0.000217626973650248,0.0327690059988971
"16","10","10",0.0610262280461518,33.8983050847458,0.0610262280461518,0,0,1.00295724894726e-05,0.423724563740471,1.00295724894726e-05
"17","12","12",36.3803346622296,0.0568627450980392,36.3803346622296,0,0,0.0103680451310418,0.000703414869882348,0.0103680451310418
"18","12","31",39.8124417058362,0.0519607843137255,39.8124417058362,3,0.0857142857142857,0.0113468583212961,0.000642139908198178,0.0113468583212961
"19","12","40",140.670627360621,0.0147058823529412,140.670627360621,8,0.228571428571429,0.0401109152722365,0.000176450199398486,0.0401109152722365
"20","13","12",129.867490945671,0.015929203539823,129.867490945671,15,0.428571428571429,0.0370299354878887,0.000191741827004624,0.0370299354878887
"21","13","13",3.4427317187365,0.600884955752212,3.4427317187365,0,0,0.000974468588460511,0.00750374265296942,0.000974468588460511
"22","13","40",3506.42225553313,0.000589970501474926,3506.42225553313,0,0,1,0,1
"23","14","14",83.4136147783942,0.0248003362757461,83.4136147783942,0,0,0.023781611308818,0.000302631803976354,0.023781611308818
"24","16","2",104.063884818567,0.0198789974070873,104.063884818567,1,0.0285714285714286,0.0296709254941921,0.00024111461445153,0.0296709254941921
"25","16","7",48.8463132821844,0.0423509075194468,48.8463132821844,19,0.542857142857143,0.0139232560110084,0.000522015562396938,0.0139232560110084
"26","16","11",478.693870165408,0.00432152117545376,478.693870165408,5,0.142857142857143,0.136512806141638,4.66447274124007e-05,0.136512806141638
"27","16","16",21.9584344112572,0.094209161624892,21.9584344112572,0,0,0.00625501893027681,0.00117024851919403,0.00625501893027681
"28","16","24",797.823116942346,0.00259291270527226,797.823116942346,0,0,0.2275262600265,2.50369621858308e-05,0.2275262600265
"29","16","57",35.7234231466722,0.0579083837510804,35.7234231466722,5,0.142857142857143,0.0101806985104126,0.000716485449436067,0.0101806985104126
"30","17","2",689.561898826574,0.003,689.561898826574,2,0.0571428571428571,0.196650909421653,3.0125590896688e-05,0.196650909421653
"31","17","7",1379.12379765315,0.0015,1379.12379765315,8,0.228571428571429,0.393309193528959,1.1375452621332e-05,0.393309193528959
"32","17","17",4.1249964037482,0.5015,4.1249964037482,0,0,0.00116904575765987,0.00626142154440667,0.00116904575765987
"33","17","27",1379.12379765315,0.0015,1379.12379765315,1,0.0285714285714286,0.393309193528959,1.1375452621332e-05,0.393309193528959
"34","17","32",827.474278591889,0.0025,827.474278591889,2,0.0571428571428571,0.235982566243114,2.38755448049027e-05,0.235982566243114
"35","18","18",0.615891627895413,3.35884691848907,0.615891627895413,0,0,0.000168273346733029,0.0419785214259616,0.000168273346733029
"36","18","56",189.190710059873,0.010934393638171,189.190710059873,1,0.0285714285714286,0.0539485072630597,0.000129306242794562,0.0539485072630597
"37","19","19",2.06868569647972,1,2.06868569647972,0,0,0.000582600166667896,0.0124927174979167,0.000582600166667896
"38","19","25",217.756389103129,0.0095,217.756389103129,1,0.0285714285714286,0.0620952413482323,0.000111376190089897,0.0620952413482323
"39","19","34",13.9305434106379,0.1485,13.9305434106379,1,0.0285714285714286,0.00396551994277641,0.00184888900360622,0.00396551994277641
"40","19","37",65.672561793007,0.0315,65.672561793007,14,0.4,0.018721985705518,0.000386378218128452,0.018721985705518
"41","20","20",0.0258585712059965,80,0.0258585712059965,0,0,0,1,0
"42","21","21",1.80671239867225,1.145,1.80671239867225,0,0,0.000507887194103111,0.0143052308645344,0.000507887194103111
"43","21","33",229.853966275525,0.009,229.853966275525,9,0.257142857142857,0.0655453866834482,0.000105126143998112,0.0655453866834482
"44","21","45",689.561898826574,0.003,689.561898826574,0,0,0.196650909421653,3.0125590896688e-05,0.196650909421653
"45","22","22",3.10302854471958,0.666666666666667,3.10302854471958,0,0,0.000877587592828856,0.00832602010339309,0.000877587592828856
"46","23","20",105.502970520466,0.0196078431372549,105.502970520466,2,0.0571428571428571,0.0300813427827639,0.000237725161082656,0.0300813427827639
"47","23","23",0.316508911561397,6.5359477124183,0.316508911561397,0,0,8.28914667512297e-05,0.0816925742265726,8.28914667512297e-05
"48","23","30",105.502970520466,0.0196078431372549,105.502970520466,3,0.0857142857142857,0.0300813427827639,0.000237725161082656,0.0300813427827639
"49","24","24",1.44601130183933,1.43061516452074,1.44601130183933,0,0,0.000405017736118998,0.0178754467500694,0.000405017736118998
"50","25","2",2809.27517581946,0.000736377025036819,2809.27517581946,0,0,0.801178474767513,1.83009504079977e-06,0.801178474767513
"51","25","7",2809.27517581946,0.000736377025036819,2809.27517581946,0,0,0.801178474767513,1.83009504079977e-06,0.801178474767513
"52","25","17",510.777304694448,0.0040500736377025,510.777304694448,7,0.2,0.145662779760376,4.32516081675067e-05,0.145662779760376
"53","25","24",2809.27517581946,0.000736377025036819,2809.27517581946,0,0,0.801178474767513,1.83009504079977e-06,0.801178474767513
"54","25","25",1123.71007032778,0.00184094256259205,1123.71007032778,0,0,0.320466965095613,1.56372660830354e-05,0.320466965095613
"55","25","27",1872.85011721297,0.00110456553755523,1872.85011721297,1,0.0285714285714286,0.534116524949791,6.43248538821165e-06,0.534116524949791
"56","26","26",0.169632227111337,12.1951219512195,0.169632227111337,0,0,4.10032522363734e-05,0.152432773894476,4.10032522363734e-05
"57","30","30",0.445456986641967,4.64396284829721,0.445456986641967,0,0,0.000119666565879296,0.0580425890151386,0.000119666565879296
"58","31","13",13.3789998848417,0.154621848739496,13.3789998848417,19,0.542857142857143,0.00380822354403665,0.00192541267718379,0.00380822354403665
"59","31","31",20.1781637607448,0.102521008403361,20.1781637607448,0,0,0.00574729805420732,0.00127414737014062,0.00574729805420732
"60","33","21",517.17142411993,0.004,517.17142411993,1,0.0285714285714286,0.147486338394826,4.26256830802587e-05,0.147486338394826
"61","33","26",775.757136179896,0.00266666666666667,775.757136179896,2,0.0571428571428571,0.221233194935066,2.59588935021645e-05,0.221233194935066
"62","33","31",1241.21141788783,0.00166666666666667,1241.21141788783,8,0.228571428571429,0.353977536707498,1.34588013185938e-05,0.353977536707498
"63","33","33",4.87514303962228,0.424333333333333,4.87514303962228,0,0,0.00138298238973149,0.00529683109757447,0.00138298238973149
"64","33","42",91.2655454329289,0.0226666666666667,91.2655454329289,2,0.0571428571428571,0.026020927622666,0.000275960737173578,0.026020927622666
"65","33","45",269.828569106051,0.00766666666666667,269.828569106051,2,0.0571428571428571,0.0769458669215529,8.84593544200178e-05,0.0769458669215529
"66","33","46",689.561898826574,0.003,689.561898826574,2,0.0571428571428571,0.196650909421653,3.0125590896688e-05,0.196650909421653
"67","35","3",394.774187078214,0.00524017467248908,394.774187078214,6,0.171428571428571,0.112579492965779,5.81279808101018e-05,0.112579492965779
"68","35","5",1184.32256123464,0.00174672489082969,1184.32256123464,4,0.114285714285714,0.337753228268645,1.44595365006846e-05,0.337753228268645
"69","35","19",263.182791385476,0.00786026200873362,263.182791385476,1,0.0285714285714286,0.075050537081968,9.08793140421647e-05,0.075050537081968
"70","35","25",394.774187078214,0.00524017467248908,394.774187078214,0,0,0.112579492965779,5.81279808101018e-05,0.112579492965779
"71","35","34",3.92810136396232,0.526637554585153,3.92810136396232,1,0.0285714285714286,0.00111289265416123,0.00657564329399062,0.00111289265416123
"72","35","35",1.18432256123464,1.74672489082969,1.18432256123464,0,0,0.000330385917300275,0.0218268474690546,0.000330385917300275
"73","35","37",35.8885624616558,0.0576419213973799,35.8885624616558,14,0.4,0.0102277951008399,0.00071315464545136,0.0102277951008399
"74","35","43",112.79262487949,0.0183406113537118,112.79262487949,1,0.0285714285714286,0.032160301786184,0.000221884646970416,0.032160301786184
"75","35","49",789.548374156427,0.00262008733624454,789.548374156427,0,0,0.225166360617212,2.53766475780389e-05,0.225166360617212
"76","36","2",737.141669845608,0.00280636108512629,737.141669845608,4,0.114285714285714,0.210220331025057,2.770508661044e-05,0.210220331025057
"77","36","16",737.141669845608,0.00280636108512629,737.141669845608,27,0.771428571428571,0.210220331025057,2.770508661044e-05,0.210220331025057
"78","36","17",368.570834922804,0.00561272217025257,368.570834922804,4,0.114285714285714,0.105106478169701,6.2784858874904e-05,0.105106478169701
"79","36","25",53.9371953545566,0.0383536014967259,53.9371953545566,1,0.0285714285714286,0.0153751403663492,0.000472048868626984,0.0153751403663492
"80","36","27",737.141669845608,0.00280636108512629,737.141669845608,4,0.114285714285714,0.210220331025057,2.770508661044e-05,0.210220331025057
"81","36","32",245.713889948536,0.00841908325537886,245.713889948536,4,0.114285714285714,0.0700685272179162,9.7864631139368e-05,0.0700685272179162
"82","36","36",130.083824090401,0.0159027128157156,130.083824090401,0,0,0.0370916322044714,0.000191410690511272,0.0370916322044714
"83","37","17",736.452107946781,0.00280898876404494,736.452107946781,0,0,0.210023672740949,2.77379328391521e-05,0.210023672740949
"84","37","24",3314.03448576051,0.000624219725343321,3314.03448576051,0,0,0.945132338734061,4.28118455570682e-07,0.945132338734061
"85","37","25",213.808676500678,0.00967540574282147,213.808676500678,2,0.0571428571428571,0.0609693810188438,0.000113568778044694,0.0609693810188438
"86","37","27",3314.03448576051,0.000624219725343321,3314.03448576051,0,0,0.945132338734061,4.28118455570682e-07,0.945132338734061
"87","37","36",220.935632384034,0.00936329588014981,220.935632384034,35,1,0.063001939542327,0.000109667375989896,0.063001939542327
"88","37","37",552.339080960086,0.00374531835205993,552.339080960086,0,0,0.157515910884299,3.94421390035441e-05,0.157515910884299
"89","37","49",602.55172468373,0.00343320848938826,602.55172468373,3,0.0857142857142857,0.171836209572476,3.55407369487467e-05,0.171836209572476
